longitude,Latitude,pH,EC,OC,N,P,K
81.40027798,6.401111202,8.3,0.1,0.37,141,3.5,596.25
78.844166,11.208333,8.1,0.14,0.52,165,31.25,500
78.844166,11.210833,7.9,0.12,0.29,125,9.75,694.5
78.755556,11.340833,8.1,0.2,0.34,133,6.5,307.75
78.844166,11.344166,8.4,0.16,0.27,125,22.5,512.5
78.846944,11.344166,8,0.15,0.51,165,22.5,575
78.9775,11.344166,8.3,0.15,0.35,141,28.13,454.63
78.844166,11.394166,7.9,0.11,0.41,149,4.88,596.25
78.755833,11.455556,8.2,0.18,0.37,141,12.5,240.5
78.839722,11.455833,8.1,0.16,0.48,157,22.5,612.5
78.839722,11.456389,8.4,0.17,0.6,181,22.5,575
78.839444,11.456389,8.1,0.12,0.26,125,6.5,192.375
78.839166,11.456389,8.1,0.12,0.26,125,6.5,192.375
78.756111,11.46222,8,0.11,0.38,141,11.375,240.5
78.95222246,11.4800001,8.2,0.19,0.23,117,7,443.75
78.8747224,11.49555567,8.3,0.18,0.51,165,8.75,402.5
78.97388915,11.50000012,8.2,0.17,0.38,141,7,457.5
78.64055575,11.5002779,8.2,0.21,0.46,157,8.75,443.75
79.01722251,11.50250012,8.1,0.23,0.59,173,8.75,500
79.10972253,11.50333346,8.1,0.18,0.46,157,5.25,485
78.94972244,11.50583347,8,0.14,0.63,181,5.25,527.5
78.95138913,11.51138902,8.1,0.17,0.65,189,8.83,513.75
78.92166686,11.51638902,8,0.18,0.32,133,10.5,555
78.89861131,11.51833347,8.2,0.14,0.65,189,8.75,527.5
78.9022224,11.52305569,8,0.15,0.54,165,8.75,443.75
78.95027803,11.52472235,6.8,0.06,0.36,141,5.25,62.5
78.92944467,11.52638903,8.2,0.2,0.35,141,5.25,416.25
78.98750026,11.52694459,8.3,0.16,0.57,173,7,321.25
78.99888916,11.52888903,8,0.64,0.33,133,7,555
79.03500029,11.53388905,8.2,0.1,0.53,165,8.75,555
78.99000024,11.54305572,8.1,0.11,0.55,173,5.25,527.5
78.91472242,11.54694461,8.3,0.21,0.55,173,8.75,443.75
78.97805581,11.54916684,8,0.12,0.38,141,7,568.75
78.89583352,11.55138904,8.1,0.13,0.46,157,8.75,416.25
83.92083753,11.55250016,8,0.19,0.35,141,8.75,500
78.97027803,11.55444462,8.2,0.19,0.52,165,10.5,443.83
78.95888913,11.5622224,8.3,0.21,0.56,173,8.75,402.5
79.02305584,11.56305573,8,0.18,0.3,133,7,500
79.0147225,11.56555574,8.4,0.18,0.72,197,7,471.25
78.88166685,11.57277796,8.1,0.18,0.42,149,8.75,500
79.02138918,11.57305574,8.3,0.2,0.59,173,10.5,443.75
81.40500218,11.5747224,8.1,0.12,0.68,189,5.25,527.5
79.78083378,11.57500018,8.2,0.17,0.59,173,7,555
78.95333359,11.57805575,8.3,0.18,0.57,173,10.5,416.25
78.90000018,11.58333352,8.1,0.14,0.32,133,8.75,555
78.99000028,11.5847224,7.6,0.06,0.34,133,8.75,67.5
79.60388936,11.58472242,8.2,0.17,0.35,141,7,471.25
79.6986116,11.58472242,8.3,0.18,0.46,157,5.25,443.75
78.96777803,11.59472242,8.2,0.21,0.36,141,10.5,375
78.93444465,11.59500021,8.3,0.18,0.39,141,8.75,375
78.97083359,11.59527797,8.3,0.2,0.46,157,7,388.75
78.96750025,11.59583353,8.2,0.18,0.47,157,12.5,443.75
79.69111159,11.59638909,8.1,0.21,0.43,149,8.75,416.25
78.9644447,11.59638909,8.3,0.18,0.5,165,10.5,527.5
79.96694548,11.59666687,8.2,0.19,0.72,197,7,388.75
78.99583362,11.59805574,7.2,0.09,0.4,149,7,70
79.32888942,11.60444466,8,0.25,0.35,141,5.25,457.5
79.00333362,11.61694466,8,0.2,0.36,141,7,500
78.98416694,11.62194465,7.2,0.07,0.48,157,5.25,65
78.98611136,11.62500022,8,0.13,0.3,133,7,471.25
79.01750028,11.62888911,8.3,0.2,0.61,181,12.5,388.75
78.98805584,11.64444467,6.8,0.06,0.43,149,8.75,50
78.97305582,11.65055579,6.7,0.09,0.39,141,5.25,72.5
78.89055574,11.66611137,8,0.18,0.4,149,7,500
79.81861205,11.69777806,8.1,0.16,0.52,165,7,295
80.1813902,11.704167,8.3,0.14,0.48,157,12.5,568.75
78.93444463,11.70555584,7.9,0.2,0.68,189,10.5,485
78.93583356,11.74305587,8,0.18,0.5,165,5.25,500
79.56555596,11.78388906,8.1,0.09,0.25,125,16.25,725
80.85250143,11.78611127,8.04,0.09,0.23,117,6.88,763.75
79.53888926,11.78861127,7.99,0.03,0.05,93,6.88,1027.5
79.4325003,11.78888905,8.02,0.07,0.34,133,8.75,902.5
79.57833375,11.78888906,8.06,0.06,0.39,133,3.75,1027.5
79.02166695,11.79111146,8,0.17,0.42,149,8.75,471.25
79.09361146,11.79333369,8.1,0.15,0.49,157,8.75,527.5
79.49500034,11.79555572,8.05,0.11,0.51,165,8.75,1027.5
79.44416696,11.79555572,8.08,0.1,0.23,117,16.25,902.5
79.44722252,11.79694461,8.05,0.08,0.27,125,7,875
79.44611141,11.79805572,8.39,0.19,0.27,125,15.63,485
79.44444474,11.79916684,8.06,0.08,0.35,141,8.75,902.5
79.44833363,11.8008335,8.05,0.1,0.32,133,18.75,1027.5
79.44555585,11.80194462,8.11,0.08,0.37,141,7,916.25
79.45083363,11.80361128,8.01,0.06,0.34,133,3.75,1027.5
79.45833364,11.81027795,7.97,0.19,0.44,149,10.5,846.25
79.43722251,11.81277795,7.97,0.07,0.44,149,25,805
79.44722252,11.81388906,8.03,0.05,0.46,157,10.5,902.5
79.44138918,11.81388906,8,0.19,0.46,157,18.75,777.5
79.45416697,11.8172224,7.98,0.11,0.49,157,10.5,791.25
79.45555585,11.81805572,8.03,0.1,0.4,149,10.5,818.75
79.45333363,11.81888906,8.01,0.17,0.46,157,12.5,750
79.43916696,11.81944461,7.97,0.09,0.54,165,10.5,791.25
79.45333364,11.81972239,7.92,0.13,0.46,157,10.5,687.5
78.85444462,11.8208337,7,0.04,0.43,149,7,57.5
79.44944474,11.82111128,7.87,0.13,0.49,157,18.75,902.5
79.46222252,11.82194461,8.07,0.06,0.49,157,7,805
79.44611141,11.82222239,7.65,0.2,0.44,149,21.88,875
79.4550003,11.82250017,7.9,0.13,0.51,165,10.5,971.25
79.45666697,11.82250017,8.05,0.18,0.49,157,3.5,832.5
79.45666696,11.8233335,8.01,0.19,0.51,165,25,902.5
79.49333367,11.82416684,7.93,0.09,0.51,165,10.5,700
79.43833362,11.82444461,7.98,0.14,0.44,149,18.75,805
79.47027808,11.82444461,8.02,0.18,0.44,149,12.5,846.25
79.44055585,11.82527796,8.04,0.16,0.4,147.5,10.5,943.75
79.46583364,11.82611129,7.98,0.07,0.44,149,10.5,777.5
79.44583363,11.82666685,8.03,0.13,0.49,157,5.25,750
79.46388919,11.8272224,7.87,0.05,0.49,157,8.75,902.5
79.44194474,11.82861128,8.07,0.09,0.49,157,12.5,1067.5
79.42944474,11.82888908,7.99,0.1,0.31,133,16.25,1027.5
